id,name,,flag,cate,origin name,Let's Go,,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01
CN-44,广东省,广东省,https://img.ixintu.com/upload/jpg/20210523/a09af10e112997946988f334505d9bfe_34181_580_435.jpg!con,亚洲,CN,0,0,21,27,42,54,65,104,174,274,345,412,448,470,502,543,602,652,712,761,814,868,892,910,939,954,999,1041,1094,1139,1177,1203,1242,1270,1299,1326,1337,1366,1388,1419,1426,1448,1474,1495,1525,1548,1569,1585,1602,1627,1644,1655,1675,1693,1712,1733,1751,1770,1794,1820,1845,1878,1908,1936,1971,1999,2024,2047,2073,2097,2130,2150,2163,2188,2206,2244,2267,2293,2312,2341,2374,2397,2414,2424,2445,2486,2507,2519,2535,2560,2573,2583,2597,2608,2622,2643,2656,2680,2708,2725,2743,2775,2798,2817,2842,2867,2876,2887,2899,2916,2933,2948,2966,2983,3003,3019,3046,3065,3084,3097,3106,3111,3124,3137,3150,3168,3176,3176,3176,3195,3204,3204,3204,3223,3255,3303,3303,3303,3325,3325,3350,3395,3395,3395,3395,3395,3410,3410,3435,3447,3459,3503,3503,3503,3519,3530,3545,3579,3613,3632,3661,3690,3704,3753,3768,3795,3831,3856,3871,3921,3928,4003,4047,4076,4103,4115,4142,4162,4167,4192,4235,4286,4306,4336,4355,4400,4424,4466,4494,4509,4552,4585,4612,4618,4661,4672,4680,4709,4730,4743,4768,4785,4797,4825,4850,4869,4875,4900,4922,4938,4955,4976,4993,5079,5099,5119,5134,5172,5194,5205,5221,5238
CN-51,四川省,四川省,https://img.ixintu.com/download/jpg/201912/d2d24d419fa60c407cc43cd034a84359.jpg!con,亚洲,CN,0,0,13,28,34,52,63,114,214,314,352,419,452,483,508,553,598,648,693,738,760,786,799,812,825,825,839,876,917,960,984,1025,1054,1071,1095,1112,1125,1140,1164,1196,1215,1230,1242,1249,1267,1286,1299,1303,1316,1331,1342,1363,1380,1400,1424,1444,1461,1474,1493,1518,1543,1577,1611,1637,1662,1688,1718,1741,1765,1789,1800,1811,1823,1844,1857,1886,1908,1930,1951,1962,1977,1986,1989,2000,2015,2037,2049,2058,2063,2078,2086,2090,2098,2108,2116,2126,2135,2146,2161,2171,2179,2196,2204,2213,2228,2237,2245,2258,2267,2277,2285,2299,2311,2324,2335,2346,2361,2372,2373,2378,2383,2387,2398,2404,2411,2425,2426,2434,2434,2458,2458,2458,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2524,2524,2524,2524,2552,2552,2552,2578,2604,2604,2604,2604,2604,2647,2647,2647,2696,2744,2744,2744,2744,2744,2781,2781,2781,2781,2799,2799,2815,2834,2834,2834,2834,2863,2863,2863,2863,2863,2863,2863,2881,2901,2901,2922,2922,2984,3025,3043,3064,3064,3064,3064,3110,3110,3110,3110,3110,3110,3110,3144,3173,3188,3188,3188,3200,3200,3200,3200,3200
CN-45,广西壮族,广西壮族,https://img.ixintu.com/upload/jpg/20210524/f353654f1ace09b49b7867968d59be96_44346_580_435.jpg!con,亚洲,CN,0,0,0,13,13,13,35,90,167,234,259,298,351,364,364,392,423,477,497,540,574,619,638,657,657,677,688,727,787,818,841,848,881,914,943,964,964,971,971,994,1005,1026,1031,1044,1060,1072,1081,1085,1094,1116,1132,1141,1166,1178,1185,1203,1226,1244,1262,1271,1290,1313,1332,1350,1392,1403,1430,1438,1448,1456,1472,1496,1496,1515,1527,1548,1560,1579,1593,1599,1608,1621,1638,1656,1665,1685,1701,1720,1732,1749,1757,1769,1775,1781,1791,1801,1819,1829,1848,1859,1869,1888,1898,1915,1927,1936,1945,1948,1956,1972,1983,1983,1992,2014,2028,2034,2040,2043,2053,2063,2070,2080,2096,2102,2113,2125,2128,2128,2128,2128,2128,2128,2228,2228,2228,2228,2228,2228,2228,2228,2228,2228,2228,2228,2228,2228,2228,2228,2228,2228,2305,2305,2305,2305,2305,2305,2305,2353,2405,2405,2405,2448,2448,2448,2487,2487,2487,2487,2487,2487,2487,2487,2487,2515,2515,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2584,2584,2584,2584,2584,2584,2584,2646,2646,2712,2712,2774,2774,2774,2774,2774,2774,2861,2861,2861,2861,2861,2861,2861,2944,2944,2944,2944,3015,3015,3015,3082,3082
CN-33,浙江省,浙江省,https://img.ixintu.com/upload/jpg/20210524/d68df5a7d93ff2660bb0ca441e507b47_25601_580_435.jpg!con,亚洲,CN,0,0,24,39,57,66,84,165,265,346,414,486,554,587,619,655,710,782,845,891,937,978,1000,1034,1058,1074,1105,1155,1212,1259,1294,1327,1367,1393,1413,1429,1440,1454,1470,1493,1508,1518,1532,1550,1573,1585,1600,1610,1619,1628,1636,1643,1655,1665,1677,1686,1696,1700,1708,1724,1740,1764,1777,1790,1803,1817,1827,1840,1852,1863,1869,1875,1882,1894,1904,1917,1929,1947,1954,1961,1974,1982,1988,1996,2004,2024,2035,2042,2049,2058,2064,2068,2074,2084,2091,2098,2108,2120,2131,2138,2147,2162,2171,2178,2186,2195,2198,2204,2205,2213,2216,2224,2231,2243,2246,2256,2265,2269,2273,2277,2281,2289,2294,2298,2301,2311,2319,2338,2338,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,2376,2376,2376,2376,2376,2376,2376,2376,2376,2410,2410,2410,2410,2410,2410,2410,2434,2434,2434,2434,2445,2457,2478,2488,2488,2506,2506,2518,2528,2538,2547,2573,2581,2581,2588,2622,2628,2640,2665,2665,2677,2696,2723,2723,2742,2748,2754,2780,2796,2802,2832,2838,2857,2857,2857,2874,2907,2918,2918,2918,2918,2927,2948,2961,2972,2984,2984,2984,2984,2984,2984,2984,2991,3004,3019,3027,3033,3062,3069,3077,3082,3082
CN-42,湖北省,湖北省,https://img.ixintu.com/download/jpg/201912/fc04a808f8dca2a7a5c74834456a00f0.jpg!con,亚洲,CN,0,0,30,34,44,44,51,151,230,287,327,373,392,406,410,428,456,481,516,527,545,589,595,607,617,626,664,690,706,728,761,790,809,838,877,893,906,922,936,949,957,973,984,1009,1038,1046,1056,1073,1076,1090,1102,1113,1122,1136,1147,1163,1169,1180,1196,1224,1236,1254,1274,1287,1313,1339,1357,1371,1390,1400,1414,1426,1440,1457,1474,1494,1508,1528,1541,1559,1573,1583,1591,1600,1640,1650,1672,1687,1697,1709,1715,1725,1730,1736,1742,1749,1760,1773,1786,1794,1803,1819,1830,1846,1856,1863,1866,1871,1879,1886,1889,1896,1904,1912,1920,1927,1936,1943,1945,1956,1970,1972,1981,1986,1995,2005,2012,2024,2024,2024,2122,2122,2122,2122,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2229,2229,2270,2270,2270,2301,2301,2301,2301,2333,2333,2333,2333,2333,2333,2333,2333,2333,2385,2385,2410,2437,2437,2459,2459,2459,2459,2505,2535,2535,2535,2535,2554,2554,2554,2554,2581,2581,2610,2707,2742,2742,2742,2742,2783,2783,2783,2817,2853,2853,2928,2928,2928,2928,2928,2928,2989,2989,3023,3023,3023,3049,3049,3049,3049,3049,3049
CN-43,湖南省,湖南省,https://img.ixintu.com/upload/jpg/20210524/a5962e11d9f519081eaee8010015e28b_40055_580_435.jpg!con,亚洲,CN,0,0,7,17,41,41,60,133,215,289,362,437,464,495,514,562,599,629,669,721,755,775,787,795,824,847,870,932,991,1027,1067,1102,1132,1145,1151,1167,1174,1193,1200,1223,1228,1237,1248,1264,1278,1303,1307,1321,1325,1332,1338,1348,1362,1367,1382,1393,1400,1408,1424,1443,1465,1496,1525,1556,1591,1622,1648,1672,1697,1717,1734,1752,1767,1795,1814,1834,1854,1868,1890,1911,1928,1946,1956,1972,1980,1996,2009,2017,2021,2034,2039,2041,2042,2044,2050,2059,2064,2080,2089,2096,2103,2127,2134,2139,2149,2153,2159,2167,2175,2185,2190,2197,2206,2220,2233,2243,2250,2255,2263,2269,2276,2278,2287,2291,2296,2304,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2405,2405,2405,2405,2405,2405,2405,2405,2471,2541,2541,2541,2541,2541,2641,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2757,2757,2757,2757,2793,2793,2793,2793,2793,2834,2834,2834,2834,2881,2881,2881,2881,2881,2881,2881,2881,2881,2881,2881,2881,2881,2881,2881,2929,2929,2929,2929,2973,2973,2973,2973,2973
CN-53,云南省,云南省,https://img.ixintu.com/upload/jpg/20210525/f8791db9d68388f517910ec33e3f2dc6_46508_580_435.jpg!con,亚洲,CN,0,0,0,0,0,0,22,64,133,178,245,292,315,336,381,409,443,536,572,622,638,655,705,721,721,752,787,803,853,940,940,973,984,1004,1014,1034,1055,1085,1096,1096,1104,1148,1161,1191,1203,1238,1269,1310,1333,1344,1356,1369,1369,1369,1369,1369,1382,1382,1391,1403,1420,1441,1475,1502,1558,1583,1627,1634,1642,1654,1662,1677,1689,1727,1763,1773,1801,1806,1834,1834,1859,1875,1875,1911,1925,1973,1985,2002,2002,2006,2013,2024,2031,2034,2042,2047,2063,2068,2077,2094,2109,2126,2140,2151,2160,2167,2184,2197,2211,2224,2224,2245,2267,2273,2284,2284,2290,2307,2313,2345,2359,2373,2388,2421,2427,2447,2454,2530,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2661,2661,2661,2661,2661,2661,2661,2661,2715,2715,2715,2715,2780,2780,2780,2780,2780,2780,2780,2841,2841,2841,2841,2841,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941,2941
CN-34,安徽省,安徽省,https://img.ixintu.com/download/jpg/201912/f20373288bc09e286fdc7b57283681e5.jpg!con,亚洲,CN,0,0,25,32,32,32,32,67,124,187,262,315,340,356,373,407,432,484,529,567,571,608,621,633,654,681,702,725,741,763,794,824,850,864,890,907,919,948,960,984,995,1006,1010,1034,1053,1065,1072,1079,1086,1099,1121,1126,1147,1154,1173,1193,1206,1218,1236,1254,1267,1280,1302,1323,1350,1369,1379,1395,1416,1435,1441,1453,1463,1476,1493,1514,1524,1530,1539,1544,1551,1554,1559,1569,1573,1583,1593,1600,1604,1617,1619,1621,1624,1630,1638,1651,1659,1670,1682,1686,1691,1704,1711,1721,1727,1736,1743,1749,1754,1763,1774,1776,1784,1788,1799,1817,1826,1835,1845,1847,1851,1855,1864,1868,1876,1881,1888,1888,1908,1908,1908,1908,1908,1908,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,2065,2065,2065,2065,2065,2065,2107,2107,2107,2107,2107,2107,2142,2204,2204,2204,2204,2204,2225,2251,2251,2303,2303,2368,2390,2424,2424,2444,2444,2444,2466,2510,2510,2528,2546,2546,2546,2597,2630,2630,2630,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2712,2758,2758,2758,2758,2810,2810,2810,2846,2846,2846,2846,2886,2886,2886,2886,2886,2886,2886,2917,2917
CN-32,江苏省,江苏省,https://img.ixintu.com/upload/jpg/20210523/19807181cab3076cfb28804e4c164565_29801_580_435.jpg!con,亚洲,CN,0,0,21,26,45,51,67,123,223,321,395,470,512,539,571,610,627,669,722,759,793,830,847,876,890,918,946,997,1041,1094,1119,1149,1190,1205,1220,1242,1254,1271,1280,1299,1308,1320,1336,1353,1370,1387,1401,1412,1425,1432,1439,1451,1460,1470,1480,1496,1503,1511,1519,1535,1544,1553,1575,1590,1605,1619,1630,1639,1652,1670,1679,1693,1701,1714,1723,1740,1753,1766,1774,1785,1797,1804,1811,1817,1828,1848,1858,1865,1872,1878,1881,1886,1891,1896,1905,1916,1924,1936,1945,1953,1960,1975,1980,1988,1998,2008,2012,2017,2020,2027,2031,2039,2049,2057,2067,2077,2089,2092,2098,2102,2106,2111,2122,2131,2135,2141,2150,2150,2150,2150,2150,2150,2150,2178,2213,2213,2213,2213,2213,2213,2213,2213,2213,2254,2294,2294,2294,2294,2294,2294,2318,2318,2318,2318,2318,2318,2338,2355,2374,2374,2388,2388,2388,2388,2388,2388,2388,2388,2388,2400,2411,2411,2421,2421,2430,2430,2449,2449,2449,2458,2500,2500,2509,2521,2521,2538,2538,2547,2565,2565,2574,2574,2583,2593,2603,2603,2603,2603,2615,2640,2640,2653,2665,2691,2703,2740,2740,2759,2759,2766,2766,2773,2773,2781,2781,2781,2781,2793,2793,2801,2813,2813
CN-37,山东省,山东省,https://img.ixintu.com/upload/jpg/20210525/82567f17f736c23a163b0e30147129fa_36268_580_435.jpg!con,亚洲,CN,0,0,11,29,29,34,50,88,160,237,290,350,412,435,445,461,477,524,569,606,644,681,704,727,736,756,787,827,869,906,949,981,1020,1039,1061,1084,1100,1119,1131,1159,1167,1172,1182,1209,1244,1266,1277,1282,1288,1298,1302,1319,1327,1332,1339,1348,1352,1367,1378,1392,1403,1421,1435,1459,1480,1501,1514,1530,1546,1563,1571,1581,1591,1603,1616,1634,1647,1658,1673,1677,1696,1701,1711,1719,1729,1737,1753,1764,1771,1782,1786,1789,1794,1804,1811,1820,1826,1834,1849,1856,1864,1882,1892,1898,1907,1916,1924,1927,1931,1935,1941,1955,1960,1970,1974,1983,1994,2004,2011,2012,2017,2025,2030,2032,2040,2046,2053,2091,2107,2107,2107,2131,2131,2131,2131,2131,2131,2131,2131,2131,2131,2131,2131,2131,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2255,2255,2255,2255,2255,2255,2270,2270,2270,2284,2284,2284,2297,2297,2297,2297,2297,2307,2317,2317,2317,2317,2338,2338,2360,2380,2380,2401,2422,2422,2422,2422,2446,2446,2446,2446,2470,2517,2517,2517,2517,2517,2517,2517,2517,2517,2517,2517,2536,2552,2564,2564,2564,2597,2597,2597,2597,2657,2696,2706,2706,2706
